Sample	CD3+/CD4-/CD8a+/FoxP3-/CD25+	CD3+/CD4-/CD8a+/FoxP3+/CD25+	CD3+/CD4-/CD8a+/FoxP3+/CD25-	CD3+/CD4-/CD8a+/FoxP3-/CD25-	CD3+/CD4+/CD8a+/FoxP3-/CD25+	CD3+/CD4+/CD8a+/FoxP3+/CD25+	CD3+/CD4+/CD8a+/FoxP3+/CD25-	CD3+/CD4+/CD8a+/FoxP3-/CD25-	CD3+/CD4+/CD8a-/FoxP3-/CD25+	CD3+/CD4+/CD8a-/FoxP3+/CD25+	CD3+/CD4+/CD8a-/FoxP3+/CD25-	CD3+/CD4+/CD8a-/FoxP3-/CD25-	CD3+/CD4-/CD8a-/FoxP3-/CD25+	CD3+/CD4-/CD8a-/FoxP3+/CD25+	CD3+/CD4-/CD8a-/FoxP3+/CD25-	CD3+/CD4-/CD8a-/FoxP3-/CD25-
Specimen_67 PBMC_A1_A01_001.fcs	165	81	56	6571	195	240	95	3525	116	335	38	10822	545	146	36	7470
Specimen_67 cec_C1_C01_025.fcs	433	39	64	9113	71	94	78	678	72	33	11	968	95	34	50	2077
Specimen_67 ln_B1_B01_013.fcs	179	404	117	12058	150	244	89	1922	135	486	110	16261	475	630	146	26794
Specimen_68 PBMC_A2_A02_002.fcs	68	84	55	8563	75	107	74	2206	80	390	80	9165	251	52	33	8892
Specimen_68 cec_C2_C02_026.fcs	360	7	6	5838	41	40	91	445	64	43	57	1342	81	5	26	979
Specimen_68 ln_B2_B02_014.fcs	107	156	73	18126	149	314	59	2085	239	669	111	24024	314	56	27	7832
Specimen_69 PBMC_A3_A03_003.fcs	361	364	71	9534	459	621	115	4493	301	2289	143	21920	772	215	27	9563
Specimen_69 cec_C3_C03_027.fcs	5231	37	57	33421	1838	874	1227	9611	927	151	135	3908	207	17	50	1816
Specimen_69 ln_B3_B03_015.fcs	109	343	103	10131	348	816	165	4300	356	1747	218	28240	597	157	44	8364
Specimen_70 PBMC_A4_A04_004.fcs	338	291	108	14618	165	272	133	4532	136	685	130	15428	1071	174	59	13533
Specimen_70 cec_C4_C04_028.fcs	1661	11	42	14671	316	213	332	3245	101	26	35	1323	75	6	63	1155
Specimen_70 ln_B4_B04_016.fcs	153	248	79	16450	255	543	143	3202	295	731	138	24501	329	74	33	8012
Specimen_71 PBMC_A5_A05_005.fcs	162	107	106	11544	142	208	103	2075	142	420	138	15621	553	72	61	10051
Specimen_71 cec_C5_C05_029.fcs	5900	31	27	25418	1945	2500	638	9212	1636	280	92	3969	295	8	21	1410
Specimen_71 ln_B5_B05_017.fcs	153	200	65	14018	212	433	92	2603	377	844	157	26218	515	76	33	12419
Specimen_72 PBMC_A6_A06_006.fcs	176	186	86	12191	123	302	89	4419	133	776	110	13608	397	151	78	20603
Specimen_72 cec_C6_C06_030.fcs	2014	97	102	27855	522	1001	1897	4072	406	285	233	6007	185	40	48	4221
Specimen_72 ln_B6_B06_018.fcs	135	336	70	12386	232	499	80	2821	233	965	137	23107	354	226	51	14358
Specimen_73 PBMC_A7_A07_007.fcs	226	64	61	9562	164	195	127	4597	232	585	180	22935	1417	63	29	8690
Specimen_73 cec_C7_C07_031.fcs	2437	14	22	25698	822	713	766	5196	696	123	122	4294	257	11	59	1709
Specimen_73 ln_B7_B07_019.fcs	70	85	86	7574	146	277	131	2029	189	699	314	26193	506	72	48	5220
Specimen_74 PBMC_A8_A08_008.fcs	229	131	71	10018	230	401	253	7279	145	805	181	20971	704	113	36	9135
Specimen_74 cec_C8_C08_032.fcs	241	29	29	5913	59	115	112	899	64	101	52	3047	85	14	54	1461
Specimen_74 ln_B8_B08_020.fcs	110	242	63	9364	220	715	111	3607	239	914	155	27506	473	114	49	10416
Specimen_75 PBMC_A9_A09_009.fcs	280	172	85	18405	166	477	236	6583	154	669	190	15798	903	58	34	8937
Specimen_75 cec_C9_C09_033.fcs	327	56	14	7464	143	314	225	1738	125	144	66	4498	67	8	27	1255
Specimen_75 ln_B9_B09_021.fcs	103	244	69	18183	221	451	76	3004	218	654	122	22190	177	32	6	5339
Specimen_76 PBMC_A10_A10_010.fcs	320	292	70	13589	456	772	162	4845	253	1633	103	16421	607	99	25	10753
Specimen_76 cec_C10_C10_034.fcs	71	52	11	2695	92	207	184	730	84	125	64	2943	75	7	43	883
Specimen_76 ln_B10_B10_022.fcs	139	347	89	15990	478	810	154	3947	270	1121	146	22979	262	55	22	5804
Specimen_77 PBMC_A11_A11_011.fcs	139	186	41	15127	108	172	80	3839	134	561	123	17128	587	66	17	10239
Specimen_77 cec_C11_C11_035.fcs	500	43	14	7961	75	102	133	1123	82	140	66	6339	53	12	33	1376
Specimen_77 ln_B11_B11_023.fcs	46	176	58	14544	122	223	59	2277	130	657	126	26798	121	58	21	4711
Specimen_78 cec_C12_C12_036.fcs	280	11	15	4128	223	328	348	1636	198	108	47	2312	30	4	8	848
Specimen_78 ln_B12_B12_024.fcs	79	217	121	16808	190	667	201	3137	210	883	244	23425	179	46	34	7784
Specimen_79 PBMC_D1_D01_037.fcs	157	176	67	14817	101	140	80	2942	208	646	178	16038	596	92	40	14176
Specimen_79 cec_F1_F01_043.fcs	235	8	9	3356	132	311	315	830	180	75	99	1248	72	5	64	733
Specimen_79 ln_E1_E01_040.fcs	138	164	50	14576	210	296	54	2499	409	904	112	25363	304	64	28	7955
Specimen_80 PBMC_D2_D02_038.fcs	225	175	74	9310	245	351	121	4916	321	1132	146	23277	872	67	30	7376
Specimen_80 cec_F2_F02_044.fcs	1775	37	89	24211	1637	2843	2939	9321	1940	646	798	9379	344	13	45	2227
Specimen_80 ln_E2_E02_041.fcs	65	195	48	8061	218	546	93	2583	340	1206	175	30552	380	48	15	5016
Specimen_80-2 PBMC_D3_D03_039.fcs	240	154	47	9298	248	337	159	5049	330	1098	167	21700	805	60	26	7096
Specimen_80-2 cec_F3_F03_045.fcs	1691	36	80	25533	1821	3271	2327	9529	2270	840	637	9948	470	15	47	2944
Specimen_80-2 ln_E3_E03_042.fcs	97	197	53	8009	237	573	80	2585	355	1137	113	29611	421	52	9	5097
